academic_year,year_start,term,date,day_of_week
2021–2022,2021,Summer,2021-06-18,Friday
2021–2022,2021,Summer,2021-06-21,Monday
2021–2022,2021,Summer,2021-06-22,Tuesday
2021–2022,2021,Summer,2021-06-23,Wednesday
2021–2022,2021,Summer,2021-06-24,Thursday
2021–2022,2021,Summer,2021-06-25,Friday
2021–2022,2021,Summer,2021-06-28,Monday
2021–2022,2021,Summer,2021-06-29,Tuesday
2021–2022,2021,Summer,2021-06-30,Wednesday
2021–2022,2021,Summer,2021-07-01,Thursday
2021–2022,2021,Summer,2021-07-02,Friday
2021–2022,2021,Summer,2021-07-05,Monday
2021–2022,2021,Summer,2021-07-06,Tuesday
2021–2022,2021,Summer,2021-07-07,Wednesday
2021–2022,2021,Summer,2021-07-08,Thursday
2021–2022,2021,Summer,2021-07-09,Friday
2021–2022,2021,Summer,2021-07-12,Monday
2021–2022,2021,Summer,2021-07-13,Tuesday
2021–2022,2021,Summer,2021-07-14,Wednesday
2021–2022,2021,Summer,2021-07-15,Thursday
2021–2022,2021,Autumn,2021-09-01,Wednesday
2021–2022,2021,Autumn,2021-09-02,Thursday
2021–2022,2021,Autumn,2021-09-03,Friday
2021–2022,2021,Autumn,2021-09-06,Monday
2021–2022,2021,Autumn,2021-09-07,Tuesday
2021–2022,2021,Autumn,2021-09-08,Wednesday
2021–2022,2021,Autumn,2021-09-09,Thursday
2021–2022,2021,Autumn,2021-09-10,Friday
2021–2022,2021,Autumn,2021-09-13,Monday
2021–2022,2021,Autumn,2021-09-14,Tuesday
2021–2022,2021,Autumn,2021-09-15,Wednesday
2021–2022,2021,Autumn,2021-09-16,Thursday
2021–2022,2021,Autumn,2021-09-17,Friday
2021–2022,2021,Autumn,2021-09-20,Monday
2021–2022,2021,Autumn,2021-09-21,Tuesday
2021–2022,2021,Autumn,2021-09-22,Wednesday
2021–2022,2021,Autumn,2021-09-23,Thursday
2021–2022,2021,Autumn,2021-09-24,Friday
2021–2022,2021,Autumn,2021-09-27,Monday
2021–2022,2021,Autumn,2021-09-28,Tuesday
2021–2022,2021,Autumn,2021-09-29,Wednesday
2021–2022,2021,Autumn,2021-09-30,Thursday
2021–2022,2021,Autumn,2021-10-01,Friday
2021–2022,2021,Autumn,2021-10-04,Monday
2021–2022,2021,Autumn,2021-10-05,Tuesday
2021–2022,2021,Autumn,2021-10-06,Wednesday
2021–2022,2021,Autumn,2021-10-07,Thursday
2021–2022,2021,Autumn,2021-10-08,Friday
2021–2022,2021,Autumn,2021-10-11,Monday
2021–2022,2021,Autumn,2021-10-12,Tuesday
2021–2022,2021,Autumn,2021-10-13,Wednesday
2021–2022,2021,Autumn,2021-10-14,Thursday
2021–2022,2021,Autumn,2021-10-15,Friday
2021–2022,2021,Autumn,2021-10-18,Monday
2021–2022,2021,Autumn,2021-10-19,Tuesday
2021–2022,2021,Autumn,2021-10-20,Wednesday
2021–2022,2021,Autumn,2021-10-21,Thursday
2021–2022,2021,Autumn,2021-10-22,Friday
2021–2022,2021,Autumn,2021-10-25,Monday
2021–2022,2021,Autumn,2021-10-26,Tuesday
2021–2022,2021,Autumn,2021-10-27,Wednesday
2021–2022,2021,Autumn,2021-10-28,Thursday
2021–2022,2021,Autumn,2021-10-29,Friday
2021–2022,2021,Autumn,2021-11-01,Monday
2021–2022,2021,Autumn,2021-11-02,Tuesday
2021–2022,2021,Autumn,2021-11-03,Wednesday
2021–2022,2021,Autumn,2021-11-04,Thursday
2021–2022,2021,Autumn,2021-11-05,Friday
2021–2022,2021,Autumn,2021-11-08,Monday
2021–2022,2021,Autumn,2021-11-09,Tuesday
2021–2022,2021,Autumn,2021-11-10,Wednesday
2021–2022,2021,Autumn,2021-11-11,Thursday
2021–2022,2021,Autumn,2021-11-12,Friday
2021–2022,2021,Autumn,2021-11-15,Monday
2021–2022,2021,Autumn,2021-11-16,Tuesday
2021–2022,2021,Autumn,2021-11-17,Wednesday
2021–2022,2021,Autumn,2021-11-18,Thursday
2021–2022,2021,Autumn,2021-11-19,Friday
2021–2022,2021,Autumn,2021-11-22,Monday
2021–2022,2021,Autumn,2021-11-23,Tuesday
2021–2022,2021,Autumn,2021-11-24,Wednesday
2021–2022,2021,Autumn,2021-11-25,Thursday
2021–2022,2021,Autumn,2021-11-26,Friday
2021–2022,2021,Autumn,2021-11-29,Monday
2021–2022,2021,Autumn,2021-11-30,Tuesday
2021–2022,2021,Autumn,2021-12-01,Wednesday
2021–2022,2021,Autumn,2021-12-02,Thursday
2021–2022,2021,Autumn,2021-12-03,Friday
2021–2022,2021,Autumn,2021-12-06,Monday
2021–2022,2021,Autumn,2021-12-07,Tuesday
2021–2022,2021,Autumn,2021-12-08,Wednesday
2021–2022,2021,Autumn,2021-12-09,Thursday
2021–2022,2021,Autumn,2021-12-10,Friday
2021–2022,2021,Autumn,2021-12-13,Monday
2021–2022,2021,Autumn,2021-12-14,Tuesday
2021–2022,2021,Autumn,2021-12-15,Wednesday
2022–2023,2022,Spring,2022-01-03,Monday
2022–2023,2022,Spring,2022-01-04,Tuesday
2022–2023,2022,Spring,2022-01-05,Wednesday
2022–2023,2022,Spring,2022-01-06,Thursday
2022–2023,2022,Spring,2022-01-07,Friday
2022–2023,2022,Spring,2022-01-10,Monday
2022–2023,2022,Spring,2022-01-11,Tuesday
2022–2023,2022,Spring,2022-01-12,Wednesday
2022–2023,2022,Spring,2022-01-13,Thursday
2022–2023,2022,Spring,2022-01-14,Friday
2022–2023,2022,Spring,2022-01-17,Monday
2022–2023,2022,Spring,2022-01-18,Tuesday
2022–2023,2022,Spring,2022-01-19,Wednesday
2022–2023,2022,Spring,2022-01-20,Thursday
2022–2023,2022,Spring,2022-01-21,Friday
2022–2023,2022,Spring,2022-01-24,Monday
2022–2023,2022,Spring,2022-01-25,Tuesday
2022–2023,2022,Spring,2022-01-26,Wednesday
2022–2023,2022,Spring,2022-01-27,Thursday
2022–2023,2022,Spring,2022-01-28,Friday
2022–2023,2022,Spring,2022-01-31,Monday
2022–2023,2022,Spring,2022-02-01,Tuesday
2022–2023,2022,Spring,2022-02-02,Wednesday
2022–2023,2022,Spring,2022-02-03,Thursday
2022–2023,2022,Spring,2022-02-04,Friday
2022–2023,2022,Spring,2022-02-07,Monday
2022–2023,2022,Spring,2022-02-08,Tuesday
2022–2023,2022,Spring,2022-02-09,Wednesday
2022–2023,2022,Spring,2022-02-10,Thursday
2022–2023,2022,Spring,2022-02-11,Friday
2022–2023,2022,Spring,2022-02-14,Monday
2022–2023,2022,Spring,2022-02-15,Tuesday
2022–2023,2022,Spring,2022-02-16,Wednesday
2022–2023,2022,Spring,2022-02-17,Thursday
2022–2023,2022,Spring,2022-02-18,Friday
2022–2023,2022,Spring,2022-02-21,Monday
2022–2023,2022,Spring,2022-02-22,Tuesday
2022–2023,2022,Spring,2022-02-23,Wednesday
2022–2023,2022,Spring,2022-02-24,Thursday
2022–2023,2022,Spring,2022-02-25,Friday
2022–2023,2022,Spring,2022-02-28,Monday
2022–2023,2022,Spring,2022-03-01,Tuesday
2022–2023,2022,Spring,2022-03-02,Wednesday
2022–2023,2022,Spring,2022-03-03,Thursday
2022–2023,2022,Spring,2022-03-04,Friday
2022–2023,2022,Spring,2022-03-07,Monday
2022–2023,2022,Spring,2022-03-08,Tuesday
2022–2023,2022,Spring,2022-03-09,Wednesday
2022–2023,2022,Spring,2022-03-10,Thursday
2022–2023,2022,Spring,2022-03-11,Friday
2022–2023,2022,Spring,2022-03-14,Monday
2022–2023,2022,Spring,2022-03-15,Tuesday
2022–2023,2022,Spring,2022-03-16,Wednesday
2022–2023,2022,Spring,2022-03-17,Thursday
2022–2023,2022,Spring,2022-03-18,Friday
2022–2023,2022,Spring,2022-03-21,Monday
2022–2023,2022,Spring,2022-03-22,Tuesday
2022–2023,2022,Spring,2022-03-23,Wednesday
2022–2023,2022,Spring,2022-03-24,Thursday
2022–2023,2022,Spring,2022-03-25,Friday
2022–2023,2022,Spring,2022-03-28,Monday
2022–2023,2022,Spring,2022-03-29,Tuesday
2022–2023,2022,Spring,2022-03-30,Wednesday
2022–2023,2022,Spring,2022-03-31,Thursday
2022–2023,2022,Summer,2022-04-01,Friday
2022–2023,2022,Summer,2022-04-04,Monday
2022–2023,2022,Summer,2022-04-05,Tuesday
2022–2023,2022,Summer,2022-04-06,Wednesday
2022–2023,2022,Summer,2022-04-07,Thursday
2022–2023,2022,Summer,2022-04-08,Friday
2022–2023,2022,Summer,2022-04-11,Monday
2022–2023,2022,Summer,2022-04-12,Tuesday
2022–2023,2022,Summer,2022-04-13,Wednesday
2022–2023,2022,Summer,2022-04-14,Thursday
2022–2023,2022,Summer,2022-04-15,Friday
2022–2023,2022,Summer,2022-04-18,Monday
2022–2023,2022,Summer,2022-04-19,Tuesday
2022–2023,2022,Summer,2022-04-20,Wednesday
2022–2023,2022,Summer,2022-04-21,Thursday
2022–2023,2022,Summer,2022-04-22,Friday
2022–2023,2022,Summer,2022-04-25,Monday
2022–2023,2022,Summer,2022-04-26,Tuesday
2022–2023,2022,Summer,2022-04-27,Wednesday
2022–2023,2022,Summer,2022-04-28,Thursday
2022–2023,2022,Summer,2022-04-29,Friday
2022–2023,2022,Summer,2022-05-02,Monday
2022–2023,2022,Summer,2022-05-03,Tuesday
2022–2023,2022,Summer,2022-05-04,Wednesday
2022–2023,2022,Summer,2022-05-05,Thursday
2022–2023,2022,Summer,2022-05-06,Friday
2022–2023,2022,Summer,2022-05-09,Monday
2022–2023,2022,Summer,2022-05-10,Tuesday
2022–2023,2022,Summer,2022-05-11,Wednesday
2022–2023,2022,Summer,2022-05-12,Thursday
2022–2023,2022,Summer,2022-05-13,Friday
2022–2023,2022,Summer,2022-05-16,Monday
2022–2023,2022,Summer,2022-05-17,Tuesday
2022–2023,2022,Summer,2022-05-18,Wednesday
2022–2023,2022,Summer,2022-05-19,Thursday
2022–2023,2022,Summer,2022-05-20,Friday
2022–2023,2022,Summer,2022-05-23,Monday
2022–2023,2022,Summer,2022-05-24,Tuesday
2022–2023,2022,Summer,2022-05-25,Wednesday
2022–2023,2022,Summer,2022-05-26,Thursday
2022–2023,2022,Summer,2022-05-27,Friday
2022–2023,2022,Summer,2022-05-30,Monday
2022–2023,2022,Summer,2022-05-31,Tuesday
2022–2023,2022,Summer,2022-06-01,Wednesday
2022–2023,2022,Summer,2022-06-02,Thursday
2022–2023,2022,Summer,2022-06-03,Friday
2022–2023,2022,Summer,2022-06-06,Monday
2022–2023,2022,Summer,2022-06-07,Tuesday
2022–2023,2022,Summer,2022-06-08,Wednesday
2022–2023,2022,Summer,2022-06-09,Thursday
2022–2023,2022,Summer,2022-06-10,Friday
2022–2023,2022,Summer,2022-06-13,Monday
2022–2023,2022,Summer,2022-06-14,Tuesday
2022–2023,2022,Summer,2022-06-15,Wednesday
2022–2023,2022,Summer,2022-06-16,Thursday
2022–2023,2022,Summer,2022-06-17,Friday
2022–2023,2022,Summer,2022-06-20,Monday
2022–2023,2022,Summer,2022-06-21,Tuesday
2022–2023,2022,Summer,2022-06-22,Wednesday
2022–2023,2022,Summer,2022-06-23,Thursday
2022–2023,2022,Summer,2022-06-24,Friday
2022–2023,2022,Summer,2022-06-27,Monday
2022–2023,2022,Summer,2022-06-28,Tuesday
2022–2023,2022,Summer,2022-06-29,Wednesday
2022–2023,2022,Summer,2022-06-30,Thursday
2022–2023,2022,Summer,2022-07-01,Friday
2022–2023,2022,Summer,2022-07-04,Monday
2022–2023,2022,Summer,2022-07-05,Tuesday
2022–2023,2022,Summer,2022-07-06,Wednesday
2022–2023,2022,Summer,2022-07-07,Thursday
2022–2023,2022,Summer,2022-07-08,Friday
2022–2023,2022,Summer,2022-07-11,Monday
2022–2023,2022,Summer,2022-07-12,Tuesday
2022–2023,2022,Summer,2022-07-13,Wednesday
2022–2023,2022,Summer,2022-07-14,Thursday
2022–2023,2022,Summer,2022-07-15,Friday
2022–2023,2022,Autumn,2022-09-01,Thursday
2022–2023,2022,Autumn,2022-09-02,Friday
2022–2023,2022,Autumn,2022-09-05,Monday
2022–2023,2022,Autumn,2022-09-06,Tuesday
2022–2023,2022,Autumn,2022-09-07,Wednesday
2022–2023,2022,Autumn,2022-09-08,Thursday
2022–2023,2022,Autumn,2022-09-09,Friday
2022–2023,2022,Autumn,2022-09-12,Monday
2022–2023,2022,Autumn,2022-09-13,Tuesday
2022–2023,2022,Autumn,2022-09-14,Wednesday
2022–2023,2022,Autumn,2022-09-15,Thursday
2022–2023,2022,Autumn,2022-09-16,Friday
2022–2023,2022,Autumn,2022-09-19,Monday
2022–2023,2022,Autumn,2022-09-20,Tuesday
2022–2023,2022,Autumn,2022-09-21,Wednesday
2022–2023,2022,Autumn,2022-09-22,Thursday
2022–2023,2022,Autumn,2022-09-23,Friday
2022–2023,2022,Autumn,2022-09-26,Monday
2022–2023,2022,Autumn,2022-09-27,Tuesday
2022–2023,2022,Autumn,2022-09-28,Wednesday
2022–2023,2022,Autumn,2022-09-29,Thursday
2022–2023,2022,Autumn,2022-09-30,Friday
2022–2023,2022,Autumn,2022-10-03,Monday
2022–2023,2022,Autumn,2022-10-04,Tuesday
2022–2023,2022,Autumn,2022-10-05,Wednesday
2022–2023,2022,Autumn,2022-10-06,Thursday
2022–2023,2022,Autumn,2022-10-07,Friday
2022–2023,2022,Autumn,2022-10-10,Monday
2022–2023,2022,Autumn,2022-10-11,Tuesday
2022–2023,2022,Autumn,2022-10-12,Wednesday
2022–2023,2022,Autumn,2022-10-13,Thursday
2022–2023,2022,Autumn,2022-10-14,Friday
2022–2023,2022,Autumn,2022-10-17,Monday
2022–2023,2022,Autumn,2022-10-18,Tuesday
2022–2023,2022,Autumn,2022-10-19,Wednesday
2022–2023,2022,Autumn,2022-10-20,Thursday
2022–2023,2022,Autumn,2022-10-21,Friday
2022–2023,2022,Autumn,2022-10-24,Monday
2022–2023,2022,Autumn,2022-10-25,Tuesday
2022–2023,2022,Autumn,2022-10-26,Wednesday
2022–2023,2022,Autumn,2022-10-27,Thursday
2022–2023,2022,Autumn,2022-10-28,Friday
2022–2023,2022,Autumn,2022-10-31,Monday
2022–2023,2022,Autumn,2022-11-01,Tuesday
2022–2023,2022,Autumn,2022-11-02,Wednesday
2022–2023,2022,Autumn,2022-11-03,Thursday
2022–2023,2022,Autumn,2022-11-04,Friday
2022–2023,2022,Autumn,2022-11-07,Monday
2022–2023,2022,Autumn,2022-11-08,Tuesday
2022–2023,2022,Autumn,2022-11-09,Wednesday
2022–2023,2022,Autumn,2022-11-10,Thursday
2022–2023,2022,Autumn,2022-11-11,Friday
2022–2023,2022,Autumn,2022-11-14,Monday
2022–2023,2022,Autumn,2022-11-15,Tuesday
2022–2023,2022,Autumn,2022-11-16,Wednesday
2022–2023,2022,Autumn,2022-11-17,Thursday
2022–2023,2022,Autumn,2022-11-18,Friday
2022–2023,2022,Autumn,2022-11-21,Monday
2022–2023,2022,Autumn,2022-11-22,Tuesday
2022–2023,2022,Autumn,2022-11-23,Wednesday
2022–2023,2022,Autumn,2022-11-24,Thursday
2022–2023,2022,Autumn,2022-11-25,Friday
2022–2023,2022,Autumn,2022-11-28,Monday
2022–2023,2022,Autumn,2022-11-29,Tuesday
2022–2023,2022,Autumn,2022-11-30,Wednesday
2022–2023,2022,Autumn,2022-12-01,Thursday
2022–2023,2022,Autumn,2022-12-02,Friday
2022–2023,2022,Autumn,2022-12-05,Monday
2022–2023,2022,Autumn,2022-12-06,Tuesday
2022–2023,2022,Autumn,2022-12-07,Wednesday
2022–2023,2022,Autumn,2022-12-08,Thursday
2022–2023,2022,Autumn,2022-12-09,Friday
2022–2023,2022,Autumn,2022-12-12,Monday
2022–2023,2022,Autumn,2022-12-13,Tuesday
2022–2023,2022,Autumn,2022-12-14,Wednesday
2022–2023,2022,Autumn,2022-12-15,Thursday
2023–2024,2023,Spring,2023-01-02,Monday
2023–2024,2023,Spring,2023-01-03,Tuesday
2023–2024,2023,Spring,2023-01-04,Wednesday
2023–2024,2023,Spring,2023-01-05,Thursday
2023–2024,2023,Spring,2023-01-06,Friday
2023–2024,2023,Spring,2023-01-09,Monday
2023–2024,2023,Spring,2023-01-10,Tuesday
2023–2024,2023,Spring,2023-01-11,Wednesday
2023–2024,2023,Spring,2023-01-12,Thursday
2023–2024,2023,Spring,2023-01-13,Friday
2023–2024,2023,Spring,2023-01-16,Monday
2023–2024,2023,Spring,2023-01-17,Tuesday
2023–2024,2023,Spring,2023-01-18,Wednesday
2023–2024,2023,Spring,2023-01-19,Thursday
2023–2024,2023,Spring,2023-01-20,Friday
2023–2024,2023,Spring,2023-01-23,Monday
2023–2024,2023,Spring,2023-01-24,Tuesday
2023–2024,2023,Spring,2023-01-25,Wednesday
2023–2024,2023,Spring,2023-01-26,Thursday
2023–2024,2023,Spring,2023-01-27,Friday
2023–2024,2023,Spring,2023-01-30,Monday
2023–2024,2023,Spring,2023-01-31,Tuesday
2023–2024,2023,Spring,2023-02-01,Wednesday
2023–2024,2023,Spring,2023-02-02,Thursday
2023–2024,2023,Spring,2023-02-03,Friday
2023–2024,2023,Spring,2023-02-06,Monday
2023–2024,2023,Spring,2023-02-07,Tuesday
2023–2024,2023,Spring,2023-02-08,Wednesday
2023–2024,2023,Spring,2023-02-09,Thursday
2023–2024,2023,Spring,2023-02-10,Friday
2023–2024,2023,Spring,2023-02-13,Monday
2023–2024,2023,Spring,2023-02-14,Tuesday
2023–2024,2023,Spring,2023-02-15,Wednesday
2023–2024,2023,Spring,2023-02-16,Thursday
2023–2024,2023,Spring,2023-02-17,Friday
2023–2024,2023,Spring,2023-02-20,Monday
2023–2024,2023,Spring,2023-02-21,Tuesday
2023–2024,2023,Spring,2023-02-22,Wednesday
2023–2024,2023,Spring,2023-02-23,Thursday
2023–2024,2023,Spring,2023-02-24,Friday
2023–2024,2023,Spring,2023-02-27,Monday
2023–2024,2023,Spring,2023-02-28,Tuesday
2023–2024,2023,Spring,2023-03-01,Wednesday
2023–2024,2023,Spring,2023-03-02,Thursday
2023–2024,2023,Spring,2023-03-03,Friday
2023–2024,2023,Spring,2023-03-06,Monday
2023–2024,2023,Spring,2023-03-07,Tuesday
2023–2024,2023,Spring,2023-03-08,Wednesday
2023–2024,2023,Spring,2023-03-09,Thursday
2023–2024,2023,Spring,2023-03-10,Friday
2023–2024,2023,Spring,2023-03-13,Monday
2023–2024,2023,Spring,2023-03-14,Tuesday
2023–2024,2023,Spring,2023-03-15,Wednesday
2023–2024,2023,Spring,2023-03-16,Thursday
2023–2024,2023,Spring,2023-03-17,Friday
2023–2024,2023,Spring,2023-03-20,Monday
2023–2024,2023,Spring,2023-03-21,Tuesday
2023–2024,2023,Spring,2023-03-22,Wednesday
2023–2024,2023,Spring,2023-03-23,Thursday
2023–2024,2023,Spring,2023-03-24,Friday
2023–2024,2023,Spring,2023-03-27,Monday
2023–2024,2023,Spring,2023-03-28,Tuesday
2023–2024,2023,Spring,2023-03-29,Wednesday
2023–2024,2023,Spring,2023-03-30,Thursday
2023–2024,2023,Spring,2023-03-31,Friday
2023–2024,2023,Summer,2023-04-03,Monday
2023–2024,2023,Summer,2023-04-04,Tuesday
2023–2024,2023,Summer,2023-04-05,Wednesday
2023–2024,2023,Summer,2023-04-06,Thursday
2023–2024,2023,Summer,2023-04-07,Friday
2023–2024,2023,Summer,2023-04-10,Monday
2023–2024,2023,Summer,2023-04-11,Tuesday
2023–2024,2023,Summer,2023-04-12,Wednesday
2023–2024,2023,Summer,2023-04-13,Thursday
2023–2024,2023,Summer,2023-04-14,Friday
2023–2024,2023,Summer,2023-04-17,Monday
2023–2024,2023,Summer,2023-04-18,Tuesday
2023–2024,2023,Summer,2023-04-19,Wednesday
2023–2024,2023,Summer,2023-04-20,Thursday
2023–2024,2023,Summer,2023-04-21,Friday
2023–2024,2023,Summer,2023-04-24,Monday
2023–2024,2023,Summer,2023-04-25,Tuesday
2023–2024,2023,Summer,2023-04-26,Wednesday
2023–2024,2023,Summer,2023-04-27,Thursday
2023–2024,2023,Summer,2023-04-28,Friday
2023–2024,2023,Summer,2023-05-01,Monday
2023–2024,2023,Summer,2023-05-02,Tuesday
2023–2024,2023,Summer,2023-05-03,Wednesday
2023–2024,2023,Summer,2023-05-04,Thursday
2023–2024,2023,Summer,2023-05-05,Friday
2023–2024,2023,Summer,2023-05-08,Monday
2023–2024,2023,Summer,2023-05-09,Tuesday
2023–2024,2023,Summer,2023-05-10,Wednesday
2023–2024,2023,Summer,2023-05-11,Thursday
2023–2024,2023,Summer,2023-05-12,Friday
2023–2024,2023,Summer,2023-05-15,Monday
2023–2024,2023,Summer,2023-05-16,Tuesday
2023–2024,2023,Summer,2023-05-17,Wednesday
2023–2024,2023,Summer,2023-05-18,Thursday
2023–2024,2023,Summer,2023-05-19,Friday
2023–2024,2023,Summer,2023-05-22,Monday
2023–2024,2023,Summer,2023-05-23,Tuesday
2023–2024,2023,Summer,2023-05-24,Wednesday
2023–2024,2023,Summer,2023-05-25,Thursday
2023–2024,2023,Summer,2023-05-26,Friday
2023–2024,2023,Summer,2023-05-29,Monday
2023–2024,2023,Summer,2023-05-30,Tuesday
2023–2024,2023,Summer,2023-05-31,Wednesday
2023–2024,2023,Summer,2023-06-01,Thursday
2023–2024,2023,Summer,2023-06-02,Friday
2023–2024,2023,Summer,2023-06-05,Monday
2023–2024,2023,Summer,2023-06-06,Tuesday
2023–2024,2023,Summer,2023-06-07,Wednesday
2023–2024,2023,Summer,2023-06-08,Thursday
2023–2024,2023,Summer,2023-06-09,Friday
2023–2024,2023,Summer,2023-06-12,Monday
2023–2024,2023,Summer,2023-06-13,Tuesday
2023–2024,2023,Summer,2023-06-14,Wednesday
2023–2024,2023,Summer,2023-06-15,Thursday
2023–2024,2023,Summer,2023-06-16,Friday
2023–2024,2023,Summer,2023-06-19,Monday
2023–2024,2023,Summer,2023-06-20,Tuesday
2023–2024,2023,Summer,2023-06-21,Wednesday
2023–2024,2023,Summer,2023-06-22,Thursday
2023–2024,2023,Summer,2023-06-23,Friday
2023–2024,2023,Summer,2023-06-26,Monday
2023–2024,2023,Summer,2023-06-27,Tuesday
2023–2024,2023,Summer,2023-06-28,Wednesday
2023–2024,2023,Summer,2023-06-29,Thursday
2023–2024,2023,Summer,2023-06-30,Friday
2023–2024,2023,Summer,2023-07-03,Monday
2023–2024,2023,Summer,2023-07-04,Tuesday
2023–2024,2023,Summer,2023-07-05,Wednesday
2023–2024,2023,Summer,2023-07-06,Thursday
2023–2024,2023,Summer,2023-07-07,Friday
2023–2024,2023,Summer,2023-07-10,Monday
2023–2024,2023,Summer,2023-07-11,Tuesday
2023–2024,2023,Summer,2023-07-12,Wednesday
2023–2024,2023,Summer,2023-07-13,Thursday
2023–2024,2023,Summer,2023-07-14,Friday
2023–2024,2023,Autumn,2023-09-01,Friday
2023–2024,2023,Autumn,2023-09-04,Monday
2023–2024,2023,Autumn,2023-09-05,Tuesday
2023–2024,2023,Autumn,2023-09-06,Wednesday
2023–2024,2023,Autumn,2023-09-07,Thursday
2023–2024,2023,Autumn,2023-09-08,Friday
2023–2024,2023,Autumn,2023-09-11,Monday
2023–2024,2023,Autumn,2023-09-12,Tuesday
2023–2024,2023,Autumn,2023-09-13,Wednesday
2023–2024,2023,Autumn,2023-09-14,Thursday
2023–2024,2023,Autumn,2023-09-15,Friday
2023–2024,2023,Autumn,2023-09-18,Monday
2023–2024,2023,Autumn,2023-09-19,Tuesday
2023–2024,2023,Autumn,2023-09-20,Wednesday
2023–2024,2023,Autumn,2023-09-21,Thursday
2023–2024,2023,Autumn,2023-09-22,Friday
2023–2024,2023,Autumn,2023-09-25,Monday
2023–2024,2023,Autumn,2023-09-26,Tuesday
2023–2024,2023,Autumn,2023-09-27,Wednesday
2023–2024,2023,Autumn,2023-09-28,Thursday
2023–2024,2023,Autumn,2023-09-29,Friday
2023–2024,2023,Autumn,2023-10-02,Monday
2023–2024,2023,Autumn,2023-10-03,Tuesday
2023–2024,2023,Autumn,2023-10-04,Wednesday
2023–2024,2023,Autumn,2023-10-05,Thursday
2023–2024,2023,Autumn,2023-10-06,Friday
2023–2024,2023,Autumn,2023-10-09,Monday
2023–2024,2023,Autumn,2023-10-10,Tuesday
2023–2024,2023,Autumn,2023-10-11,Wednesday
2023–2024,2023,Autumn,2023-10-12,Thursday
2023–2024,2023,Autumn,2023-10-13,Friday
2023–2024,2023,Autumn,2023-10-16,Monday
2023–2024,2023,Autumn,2023-10-17,Tuesday
2023–2024,2023,Autumn,2023-10-18,Wednesday
2023–2024,2023,Autumn,2023-10-19,Thursday
2023–2024,2023,Autumn,2023-10-20,Friday
2023–2024,2023,Autumn,2023-10-23,Monday
2023–2024,2023,Autumn,2023-10-24,Tuesday
2023–2024,2023,Autumn,2023-10-25,Wednesday
2023–2024,2023,Autumn,2023-10-26,Thursday
2023–2024,2023,Autumn,2023-10-27,Friday
2023–2024,2023,Autumn,2023-10-30,Monday
2023–2024,2023,Autumn,2023-10-31,Tuesday
2023–2024,2023,Autumn,2023-11-01,Wednesday
2023–2024,2023,Autumn,2023-11-02,Thursday
2023–2024,2023,Autumn,2023-11-03,Friday
2023–2024,2023,Autumn,2023-11-06,Monday
2023–2024,2023,Autumn,2023-11-07,Tuesday
2023–2024,2023,Autumn,2023-11-08,Wednesday
2023–2024,2023,Autumn,2023-11-09,Thursday
2023–2024,2023,Autumn,2023-11-10,Friday
2023–2024,2023,Autumn,2023-11-13,Monday
2023–2024,2023,Autumn,2023-11-14,Tuesday
2023–2024,2023,Autumn,2023-11-15,Wednesday
2023–2024,2023,Autumn,2023-11-16,Thursday
2023–2024,2023,Autumn,2023-11-17,Friday
2023–2024,2023,Autumn,2023-11-20,Monday
2023–2024,2023,Autumn,2023-11-21,Tuesday
2023–2024,2023,Autumn,2023-11-22,Wednesday
2023–2024,2023,Autumn,2023-11-23,Thursday
2023–2024,2023,Autumn,2023-11-24,Friday
2023–2024,2023,Autumn,2023-11-27,Monday
2023–2024,2023,Autumn,2023-11-28,Tuesday
2023–2024,2023,Autumn,2023-11-29,Wednesday
2023–2024,2023,Autumn,2023-11-30,Thursday
2023–2024,2023,Autumn,2023-12-01,Friday
2023–2024,2023,Autumn,2023-12-04,Monday
2023–2024,2023,Autumn,2023-12-05,Tuesday
2023–2024,2023,Autumn,2023-12-06,Wednesday
2023–2024,2023,Autumn,2023-12-07,Thursday
2023–2024,2023,Autumn,2023-12-08,Friday
2023–2024,2023,Autumn,2023-12-11,Monday
2023–2024,2023,Autumn,2023-12-12,Tuesday
2023–2024,2023,Autumn,2023-12-13,Wednesday
2023–2024,2023,Autumn,2023-12-14,Thursday
2023–2024,2023,Autumn,2023-12-15,Friday
2024–2025,2024,Spring,2024-01-01,Monday
2024–2025,2024,Spring,2024-01-02,Tuesday
2024–2025,2024,Spring,2024-01-03,Wednesday
2024–2025,2024,Spring,2024-01-04,Thursday
2024–2025,2024,Spring,2024-01-05,Friday
2024–2025,2024,Spring,2024-01-08,Monday
2024–2025,2024,Spring,2024-01-09,Tuesday
2024–2025,2024,Spring,2024-01-10,Wednesday
2024–2025,2024,Spring,2024-01-11,Thursday
2024–2025,2024,Spring,2024-01-12,Friday
2024–2025,2024,Spring,2024-01-15,Monday
2024–2025,2024,Spring,2024-01-16,Tuesday
2024–2025,2024,Spring,2024-01-17,Wednesday
2024–2025,2024,Spring,2024-01-18,Thursday
2024–2025,2024,Spring,2024-01-19,Friday
2024–2025,2024,Spring,2024-01-22,Monday
2024–2025,2024,Spring,2024-01-23,Tuesday
2024–2025,2024,Spring,2024-01-24,Wednesday
2024–2025,2024,Spring,2024-01-25,Thursday
2024–2025,2024,Spring,2024-01-26,Friday
2024–2025,2024,Spring,2024-01-29,Monday
2024–2025,2024,Spring,2024-01-30,Tuesday
